score,n_snps,n_snps_within_known_gene,n_genes_known_gene,n_snps_within_flank,n_genes_within_flank
PGS000012_hmPOS_GRCh37,49309,23315,7755,34607,17431
PGS000116_hmPOS_GRCh37,40079,19661,6146,28810,14518
PGS000747_hmPOS_GRCh37,375822,164764,14613,258041,20827
